text,mood
I feel like giving up on things,Sad
I feel drained and upset,Sad
I feel settled and unbothered,Neutral
I feel proud of what I achieved,Happy
My mind won't stop racing with worries,Stressed
I am stressed about exams,Stressed
Life is beautiful,Happy
I am overwhelmed with responsibilities,Stressed
We celebrated and had so much fun,Happy
I feel neither happy nor sad,Neutral
I feel anxious about tomorrow's meeting,Stressed
I am grateful for my family,Happy
I can't sleep because I'm so worried,Stressed
I feel anxious about the interview tomorrow,Stressed
The stress is affecting my sleep,Stressed
I feel gloomy today,Sad
I feel discouraged about my future,Sad
I am learning something new today,Neutral
I am calm and relaxed,Neutral
I feel abandoned by everyone,Sad
I feel like crying right now,Sad
I love how things are going right now,Happy
I feel empty inside,Sad
I am observing things calmly,Neutral
Nothing special happened today,Neutral
I feel weighed down by sadness,Sad
It was a regular day at work,Neutral
I feel depressed lately,Sad
Today felt like any other day,Neutral
I am heartbroken about what happened,Sad
Everything is going great for me,Happy
I feel isolated from others,Sad
I am panicking about the deadline,Stressed
I am worried about failing the test,Stressed
I am under a lot of pressure at work,Stressed
I feel a deep sense of loss,Sad
I am planning my next steps,Neutral
I have too much work to finish,Stressed
I am taking things one step at a time,Neutral
I feel light and cheerful,Happy
I have been feeling blue all week,Sad
Good news made my whole week,Happy
I keep thinking about what I lost,Sad
I feel like nobody understands me,Sad
Spending time with friends made me happy,Happy
I feel burnt out from work,Stressed
The workload is making me anxious,Stressed
I feel like I'm running out of time,Stressed
I am thrilled about the new job offer,Happy
I feel disappointed in myself,Sad
I feel plain and even-keeled today,Neutral
I can't stop feeling sorry for myself,Sad
I am excited about the trip,Happy
I am tired and anxious,Stressed
I feel energetic and positive,Happy
I feel hopeless about the situation,Sad
I feel tense about the presentation,Stressed
Everything feels chaotic right now,Stressed
I feel relaxed and happy,Happy
I feel restless and on edge,Stressed
I am satisfied with my progress,Happy
I feel so joyful right now,Happy
My friends surprised me and I loved it,Happy
I am nervous about the results coming out,Stressed
I am focused on my goals today,Neutral
I feel a sense of accomplishment,Happy
I am just going through my routine,Neutral
I feel unwanted and ignored,Sad
I am reading a book quietly,Neutral
I am optimistic about the future,Happy
I am very happy today,Happy
I feel neutral about the outcome,Neutral
There is too much on my plate right now,Stressed
"I feel fine, just a normal day",Neutral
I feel overwhelmed by deadlines,Stressed
"I feel okay, nothing more nothing less",Neutral
I feel sad and lonely,Sad
I feel jittery and can't focus,Stressed
I feel indifferent about the news,Neutral
Today was an ordinary day,Neutral
I feel pressured to perform well,Stressed
Nothing feels right anymore,Sad
I feel very low today,Sad
I am simply relaxing at home,Neutral
I feel unaffected by today's events,Neutral
Today has been a wonderful day,Happy
My heart is racing from all this pressure,Stressed
I feel normal today,Neutral
This is the best day of my life,Happy
I feel like I can't catch a break,Stressed
I feel steady and composed,Neutral
I can't stop smiling today,Happy
I am delighted with the results,Happy
I miss my old friends so much,Sad
I lost something important to me,Sad
I feel down and unmotivated,Sad
I am organizing my schedule for the week,Neutral
I got a great score on my exam,Happy
I am content with how things turned out,Happy
I feel balanced right now,Neutral
